,xmin,ymin,xmax,ymax,confidence,class,name
0,624.0526123046875,134.99136352539062,814.3444213867188,574.25244140625,0.9241891503334045,0,person
1,1174.994384765625,164.15992736816406,1425.6182861328125,358.5076904296875,0.918067455291748,2,car
2,493.4256896972656,102.92491149902344,653.1884765625,561.6871337890625,0.911798894405365,0,person
3,1.2283687591552734,165.33880615234375,151.4286346435547,295.4142150878906,0.8906536102294922,2,car
4,264.1609191894531,852.687255859375,388.149169921875,969.8445434570312,0.8464375138282776,14,bird
5,1004.3353271484375,780.5780639648438,1121.2642822265625,871.3181762695312,0.8353353142738342,14,bird
6,102.87226867675781,976.5201416015625,210.7450714111328,1080.0,0.8200923800468445,14,bird
7,841.1221313476562,178.0829315185547,943.2039794921875,302.9258728027344,0.7834224104881287,2,car
8,699.9215698242188,622.7355346679688,809.2296752929688,677.2249755859375,0.7492042183876038,14,bird
9,378.503173828125,712.6065673828125,434.662353515625,808.7691650390625,0.7450319528579712,14,bird
10,249.1681365966797,413.5967102050781,523.0449829101562,673.6388549804688,0.721791684627533,14,bird
11,280.6558532714844,107.18071746826172,494.30743408203125,552.4576416015625,0.7093391418457031,0,person
12,1467.5181884765625,175.17494201660156,1562.17431640625,232.09400939941406,0.7049025893211365,2,car
13,1211.818359375,547.6834106445312,1286.493408203125,608.3087158203125,0.6806557178497314,14,bird
14,1088.00341796875,580.58349609375,1134.961669921875,641.094482421875,0.6156535148620605,14,bird
15,1632.705810546875,711.5794677734375,1698.4930419921875,785.9893798828125,0.5852944254875183,14,bird
16,492.3456115722656,221.2064666748047,549.0443725585938,345.2194519042969,0.5747466087341309,26,handbag
17,1527.7908935546875,493.70452880859375,1574.8765869140625,544.9351196289062,0.5602952241897583,14,bird
18,1710.2257080078125,579.1536865234375,1801.867431640625,657.3646240234375,0.5406593084335327,14,bird
19,1824.83984375,533.6338500976562,1866.51904296875,599.606689453125,0.5323871374130249,14,bird
20,1594.8548583984375,691.4210815429688,1651.953369140625,758.0282592773438,0.5195485353469849,14,bird
21,897.5068359375,173.7373809814453,957.3795776367188,225.65423583984375,0.5091371536254883,2,car
22,649.3526000976562,163.3074188232422,705.2340087890625,239.73641967773438,0.43893691897392273,2,car
23,1008.5336303710938,165.9253692626953,1049.5316162109375,216.2053985595703,0.42793405055999756,2,car
24,0.03656888008117676,985.4218139648438,23.3433780670166,1014.172119140625,0.40385374426841736,14,bird
25,621.2451782226562,155.37940979003906,689.2872314453125,241.51918029785156,0.34784701466560364,2,car
26,1536.9949951171875,161.206787109375,1600.40185546875,205.0015411376953,0.31616145372390747,2,car
27,1603.8897705078125,373.9646301269531,1691.09521484375,445.37420654296875,0.3010706305503845,14,bird
28,317.5137634277344,269.8098449707031,355.0006408691406,312.8390197753906,0.29380568861961365,41,cup
